Film,Lead Studio,RottenTomatoes,Audience  score,Story,Genre,Worldwide Gross,Total
Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,6.86,
Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,72.42,
Monte Carlo,20th Century Fox,38,50,Love,Romance,39.67,
Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,187.36,
Rio,20th Century Fox,71,73,Quest,Animation,484.63,
Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,481.74,
The Descendants,20th Century Fox,89,88,Discovery,Drama,177.24,
Water For Elephants,20th Century Fox,60,72,Love,Drama,117.09,
What's Your Number,20th Century Fox,24,50,Transformation,Comedy,30.43,1597.44
Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,147.41,147.41
Beastly,CBS Films,19,50,Metamorphosis,Romance,43.17,43.17
Moneyball,Columbia,95,89,Underdog,Drama,110.2,
The Green Hornet,Columbia,44,47,Rivalry,Action,227.82,
The Ides of March,Columbia,85,76,Transformation,Thriller,75.99,414.01
Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,370.57,
Gnomeo and Juliet,Disney,56,52,Love,Animation,193.97,
Mars Needs Moms,Disney,36,43,Rescue,Animation,38.99,
"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,"1,045.71",
The Muppets,Disney,97,87,Quest,Comedy,165.18,
Thor,Disney,77,80,Monster Force,Action,449.32,
War Horse,Disney,77,73,,Drama,177.584,
Winnie The Pooh,Disney,91,79,Quest,Animation,33.15,
X-Men: First Class,Disney,87,88,Monster Force,Action,353.62,2828.094
Fright Night,DreamWorks,75,68,Rivalry,Horror,41,
Puss In Boots,DreamWorks,83,76,Quest,Animation,554.99,
Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,665.69,
Real Steel,DreamWorks Pictures,58,81,Underdog,Action,299.27,
The Help,DreamWorks Pictures,75,91,Maturation,Drama,216.64,
Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,"1,123.79",2901.38
Tinker Tailor Soldier Spy,Focus,83,68,,Thriller,80.63,80.63
The Sitter,Fox,22,43,,Comedy,34.941,
We Bought a Zoo,Fox,63,79,,Comedy,120.081,155.022
Jack and Jill,Happy Madison,4,59,Comedy,Comedy,149.68,
Just Go With It,Happy Madison,19,63,Comedy,Romance,214.95,
Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,169.85,534.48
30 Minutes or Less,Independent,43,48,Comedy,Comedy,40.55,
50/50,Independent,93,93,Discovery,Comedy,39.19,
A Dangerous Method,Independent,79,89,Love,Drama,27.46,
Another Earth,Independent,63,74,Temptation,Fantasy,1.77,
Bad Teacher,Independent,44,38,Comedy,Comedy,216.2,
Beginners,Independent,84,80,Love,Comedy,14.31,
Dolphin Tale,Independent,84,81,Quest,Drama,95.41,
Drive,Independent,93,79,Rivalry,Thriller,76.17,
Drive Angry,Independent,45,38,Rescue,Action,28.93,
Dylan Dog: Dead of Night,Independent,6,28,Monster Force,Horror,4.63,
Killer Elite,Independent,25,48,Rivalry,Action,56.38,
Margin Call,Independent,86,73,Sacrifice,Thriller,19.5,
One Day,Independent,37,54,Love,Romance,59.39,
Paranormal Activity 3,Independent,68,58,Monster Force,Horror,207.04,
Red State,Independent,57,59,Escape,Horror,1.1,
Shame,Independent,80,80,,Drama,16.874,
Something Borrowed,Independent,15,48,Love,Romance,60.18,
Take Shelter,Independent,92,85,Sacrifice,Drama,3.13,
The Adjustment Bureau,Independent,72,67,Sacrifice,Thriller,127.87,
The Big Year,Independent,38,62,Transformation,Comedy,7.45,
The Conspirator,Independent,56,65,Underdog,Drama,15.48,
The Mechanic,Independent,53,52,Revenge,Action,51.07,
The Roommate,Independent,4,29,Monster Force,Horror,40.49,
The Rum Diary,Independent,50,48,Discovery,Drama,23.95,
The Three Musketeers,Independent,24,48,Rivalry,Action,132.27,
The Tree Of Life,Independent,84,61,Discovery,Drama,54.3,
Twilight: Breaking Dawn,Independent,26,68,Love,Romance,712.17,
Unknown,Independent,55,57,The Riddle,Thriller,130.79,2223.504
Sucker Punch,Legendary Pictures,23,48,Quest,Action,89.79,
The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,586.76,
A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,35.39,
Conan the Barbarian,Lionsgate,22,34,Quest,Action,48.8,
Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,1.1,
The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,75.01,
Warrior,Lionsgate,83,93,Rivalry,Action,23.06,183.36
Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,36.99,36.99
Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,38.5,38.5
Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,157.89,157.89
Hugo,Paramount,93,84,,Adventure,185.769,
I Am Number Four,Paramount,32,57,Maturation,Thriller,149.88,
Mission Impossible 4,Paramount,93,86,Pursuit,Action,694.71,
Rango,Paramount,88,69,Fish Out Of Water,Animation,245.72,
Super 8,Paramount,82,78,Monster Force,Horror,260.1,
